star,name,ra,dec,culture,total_culture_names
112158,First lucky star of the rain,22.716704,30.221245,arabic,224
112748,First lucky star of the excellent one,22.833385,24.601579,arabic,224
113136,The shin,22.910837,-15.82082,arabic,224
113368,Mouth of the fish,22.960838,-29.622236,arabic,224
113881,The great horse shoulder,23.062901,28.082789,arabic,224
113963,The great horse back,23.079348,15.205264,arabic,224
20648,Fourth one of Alkalaes,4.424828,17.92791,arabic,224
20455,Third one of Alkalaes,4.382247,17.542514,arabic,224
20205,Second one of Alkalaes,4.329889,15.627642000000002,arabic,224
20894,One of Alkalaes,4.477705,15.870883,arabic,224
42556,The Scattered stars,8.67417,19.544808,arabic,224
86782,The quarter,17.733103,53.801715,arabic,224
89341,The wronged,18.229392,-21.058834,arabic,224
89642,Incoming ostriches,18.293793,-36.761686,arabic,224
92041,First outgoing ostriches,18.76094,-26.990778,arabic,224
93864,Third outgoing ostriches,19.11567,-27.670423,arabic,224
97165,Fourth one of the cavalry's,19.749574,45.13081,arabic,224
98032,First shrike,19.921026,-41.868288,arabic,224
98412,Second shrike,19.995605,-35.276305,arabic,224
102281,Fourth one of the sitting's,20.724315,15.074581,arabic,224
102532,Third one of the sitting's,20.77764,16.124295999999998,arabic,224
104732,Second one of the cavalry's,21.215607,30.226916,arabic,224
109268,The shining,22.137209,-46.960975,arabic,224
112051,Second lucky star of the rain,22.695947,29.307641,arabic,224
112440,Lucky star of the excellent one,22.775521,23.565654,arabic,224
112447,Second lucky star of the high-minded man,22.778216,12.172888,arabic,224
115250,Second one of the anguish,23.343956,23.740337,arabic,224
115623,First one of the anguish,23.422993,23.404101,arabic,224
83895,First wolf,17.146448,65.714683,arabic,224
80331,Second wolf,16.39986,61.514213,arabic,224
85805,First wolf paw,17.532745000000002,68.135024,arabic,224
86201,Second wolf paw,17.615859,68.75797,arabic,224
89937,Second one of the andiron's,18.350736,72.732843,arabic,224
97433,Third one of the andiron's,19.80285,70.26793,arabic,224
85829,The forth incantation,17.537767000000002,55.172958,arabic,224
10064,The second companionable,2.1590580000000004,34.987297,arabic,224
32362,Second one of the brand-mark,6.754824,12.895591,arabic,224
69974,The second Al-ghofer,14.318498000000002,-13.371095,arabic,224
69427,The third Al-ghofer,14.214929,-10.273702,arabic,224
103045,Second One of swallower luck,20.877565,-8.983317999999997,arabic,224
104459,Third One of swallower luck,21.159902,-11.371693,arabic,224
106786,Second one of the Luck of lucks,21.629197,-7.854201,arabic,224
107382,Third one of the Luck of lucks,21.750071,-9.082428,arabic,224
108874,Second lucky star of the king,22.055234,-2.155363,arabic,224
110960,Second lucky star of the tents,22.480531,-0.019972,arabic,224
111497,Third lucky star of the tents,22.589272,-0.117498,arabic,224
110672,Fourth lucky star of the tents,22.421284,1.377401,arabic,224
82080,Third one of the bier daughters,16.766159,82.037262,arabic,224
