ast_ID,vals,ra,dec
08C,8,"19.058959, 19.164332, 19.164332, 19.10415, 19.10415, 19.048472, 19.048472, 19.028008, 19.028008, 18.951019, 18.951019, 18.849586, 18.849586, 18.704563, 18.704563, 18.586785","1.818768, -0.4281140000000001, -0.4281140000000001, -4.882554, -4.882554, -3.698987, -3.698987, -5.739115, -5.739115, -5.846314, -5.846314, -9.774096, -9.774096, -9.052549, -9.052549, -8.244073"
08D,14,"19.157869, 19.106971, 19.106971, 18.978721, 18.978721, 18.944582, 18.944582, 18.729706, 18.729706, 18.556426, 18.556426, 18.539257, 18.539257, 18.558383, 18.558383, 18.659768, 18.659768, 18.814024, 18.814024, 18.938044, 18.938044, 19.051907, 19.051907, 19.139156, 19.139156, 19.167154, 19.167154, 19.157869","-37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -37.343241, -37.343241, -38.323441, -38.323441, -38.725985, -38.725985, -39.704001, -39.704001, -42.31251, -42.31251, -43.185878, -43.185878, -43.680047, -43.680047, -42.710676, -42.710676, -42.095105, -42.095105, -40.496703, -40.496703, -39.34079600000001, -39.34079600000001, -37.904474"
08E,1,"19.708648, 19.870001","-16.123995999999998, -19.044991"
08F,8,"17.977514000000006, 17.944955, 17.944955, 17.915012, 17.915012, 17.996543, 17.996543, 18.19537, 18.19537, 18.358713, 18.358713, 18.300886, 18.300886, 18.134716, 18.134716, 17.977514000000006","-28.759089000000003, -28.065394, -28.065394, -24.887095, -24.887095, -23.816133, -23.816133, -23.701235, -23.701235, -24.915276, -24.915276, -27.042641, -27.042641, -28.457093, -28.457093, -28.759089000000003"
08G,1,"19.611786, 19.421247","-24.883623, -24.508575"
08H,4,"19.930651, 19.982555, 19.982555, 20.044299, 20.044299, 19.94912, 19.94912, 19.930651","-26.299506, -26.195767, -26.195767, -27.709845, -27.709845, -27.169899, -27.169899, -26.299506"
08I,10,"19.727116, 19.569024, 19.569024, 19.489951, 19.489951, 19.661606, 19.661606, 19.921026, 19.921026, 19.864056, 19.864056, 19.727116, 19.995605, 19.864056, 19.327776, 19.569024, 19.489951, 19.377303, 20.013424, 19.921026","-37.53876500000001, -40.034638, -40.034638, -43.445195, -43.445195, -45.27855, -45.27855, -41.868288, -41.868288, -39.874367, -39.874367, -37.53876500000001, -35.276305, -39.874367, -35.421452, -40.034638, -43.445195, -44.458965, -45.112918, -41.868288"
08J,1,"18.518012, 18.518012","-32.989114, -32.989114"
09A,6,"20.350187, 20.455336, 20.455336, 20.498307, 20.498307, 20.481004, 20.481004, 20.350187, 20.350187, 20.344393, 20.350187, 20.300904","-14.781367, -18.211721, -18.211721, -18.583178, -18.583178, -17.813686999999994, -17.813686999999994, -14.781367, -14.781367, -12.75908, -14.781367, -12.544852"
09B,8,"20.323223, 20.300388, 20.300388, 20.254806, 20.492039, 20.547877, 20.547877, 20.424119, 20.669925, 20.690073, 20.690073, 20.689902, 20.690073, 20.547877, 20.547877, 20.300388","-19.118533, -21.80996, -21.80996, -27.032977, -22.391567, -24.943829, -24.943829, -28.663269, -23.773867000000006, -25.999911, -25.999911, -31.598289, -25.999911, -24.943829, -24.943829, -21.80996"
