ast_ID,vals,ra,dec
73,1,"21.775583, 21.692462","-11.365954, -14.047610999999998"
74,6,"21.099118, 21.073417000000006, 21.073417000000006, 21.142673, 21.142673, 21.260528, 21.260528, 21.370776, 21.370776, 21.262456, 21.262456, 21.099118","-17.232861, -19.854991, -19.854991, -21.193669, -21.193669, -20.651696, -20.651696, -16.834542000000006, -16.834542000000006, -15.1715, -15.1715, -17.232861"
75,7,"21.75748, 21.725127, 21.725127, 21.701573, 21.701573, 21.779891, 21.779891, 21.56635, 21.56635, 21.307551, 21.307551, 21.082184, 21.082184, 21.110026","61.12080600000001, 58.780046, 58.780046, 51.189622, 51.189622, 49.30957, 49.30957, 45.591837, 45.591837, 43.945945, 43.945945, 43.927852, 43.927852, 47.648403"
76,4,"22.20056, 22.486183, 22.486183, 22.191828, 22.180908, 22.486183, 22.486183, 22.250544","60.759095, 58.415198, 58.415198, 59.414488, 58.201261, 58.415198, 58.415198, 57.043587"
77,7,"21.718465, 21.615827, 21.615827, 21.579596, 21.579596, 21.723791, 21.723791, 21.718465, 21.718465, 22.100543, 22.100543, 22.350428, 22.350428, 22.492173","41.15497, 40.413521, 40.413521, 38.534054, 38.534054, 38.283589, 38.283589, 41.15497, 41.15497, 45.014348, 45.014348, 46.536569, 46.536569, 47.706887"
78,4,"21.499137, 21.767879, 21.767879, 21.893717, 21.74186, 21.767879, 21.767879, 21.36811","23.638838, 22.94888, 22.94888, 19.668437, 17.350017, 22.94888, 22.94888, 19.804508"
79,1,"22.26616, 22.166457","37.748737, 33.178224"
80,3,"22.355372, 22.116847, 22.116847, 21.744092, 21.744092, 21.73571","28.330529, 25.345112, 25.345112, 25.645036, 25.645036, 28.742632"
81,2,"21.736433, 22.169996, 22.169996, 22.096399","9.875011, 6.197865, 6.197865, -0.319851"
82,3,"22.421284, 22.480531, 22.480531, 22.360938, 22.480531, 22.589272","1.377401, -0.019972, -0.019972, -1.387331, -0.019972, -0.117498"
83,1,"22.055234, 22.280565","-2.155363, -7.783289999999999"
