ast_ID,vals,ra,dec
Rac,4,"8.974784, 8.74475, 8.74475, 8.721430999999999, 8.721430999999999, 8.778284, 8.275256, 8.74475","11.857701, 18.154309, 18.154309, 21.468501, 21.468501, 28.759898, 9.185545, 18.154309"
Rar,6,"5.418851, 5.533445, 5.533445, 5.603559, 5.603559, 5.679313, 5.679313, 5.795941, 5.795941, 5.242298, 5.242298, 5.533445","6.349702, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092"
Sar,31,"16.038248, 15.85442, 15.85442, 15.692516, 15.692516, 15.812327, 15.812327, 15.940882, 15.940882, 15.769793, 15.769793, 15.812327, 15.812327, 15.85442, 15.769793, 15.580041, 15.580041, 15.737798000000002, 15.737798000000002, 15.846935, 15.846935, 16.239094, 16.239094, 16.305358, 16.305358, 16.619316, 16.619316, 17.172968, 17.172968, 17.523598, 17.523598, 17.626445, 17.626445, 17.983775, 17.983775, 18.355167, 18.355167, 18.936995, 18.936995, 18.122496, 18.122496, 17.582241, 17.582241, 16.961139000000006, 16.961139000000006, 16.515229, 16.515229, 16.239094, 17.582241, 17.724543, 17.724543, 17.441910999999998, 17.724543, 17.798211, 17.798211, 18.010754000000006, 18.010754000000006, 18.029222, 18.029222, 18.090913, 18.004388, 18.010754000000006","22.804454, 20.977919, 20.977919, 19.670401, 19.670401, 18.141564, 18.141564, 15.661617, 15.661617, 15.421826, 15.421826, 18.141564, 18.141564, 20.977919, 15.421826, 10.538867, 10.538867, 6.425627, 6.425627, 4.47773, 4.47773, -3.694323, -3.694323, -4.692511, -4.692511, -10.56709, -10.56709, -15.72491, -15.72491, -23.962643, -23.962643, -15.398557, -15.398557, -9.773632, -9.773632, -2.898825, -2.898825, 4.203595, 4.203595, 9.563847, 9.563847, 12.560035, 12.560035, 9.375033, 9.375033, 1.983923, 1.983923, -3.694323, 12.560035, 4.567303, 4.567303, 4.14036, 4.567303, 2.707276, 2.707276, 2.931568, 2.931568, 1.305076, 1.305076, 2.500099, 4.368615, 2.931568"
Sco,10,"15.297178, 15.617070000000002, 15.617070000000002, 15.64427, 15.64427, 15.948077, 15.948077, 15.980865, 15.980865, 16.005557, 16.005557, 16.09062, 16.005557, 16.490128, 16.490128, 16.598043, 16.598043, 16.83608, 16.83608, 16.864508999999998","-30.148673, -28.135079, -28.135079, -29.777754, -29.777754, -29.214073, -29.214073, -26.114105, -26.114105, -22.62171, -22.62171, -19.805453, -22.62171, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738"
Sec,5,"5.589768, 5.589695, 5.589695, 5.584078, 5.584078, 5.532183, 5.532183, 5.3991190000000016, 5.3991190000000016, 5.293442","-4.838358, -5.41606, -5.41606, -6.002027, -6.002027, -7.301537, -7.301537, -7.808064999999999, -7.808064999999999, -6.844409"
Sfm,3,"5.679313, 5.603559, 5.603559, 5.533445, 5.242298, 5.603559","-1.942572, -1.20192, -1.20192, -0.299092, -8.20164, -1.20192"
Tau,6,"4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943, 4.476943, 4.5591800000000005, 4.5591800000000005, 4.598677","16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431, 19.180431, 18.016722, 18.016722, 16.509301"
Tdz,6,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.5499970000000001, 0.5499970000000001, 0.152887, 1.430216, 1.185017, 0.945143, 0.6751159999999999","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 62.931783, 62.931783, 59.14978000000001, 60.235283, 55.149901, 60.71674, 56.53733100000001"
Trf,2,"5.679313, 5.603559, 5.603559, 5.533445","-1.942572, -1.20192, -1.20192, -0.299092"
UMa,19,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086, 11.897168, 11.767515, 11.767515, 11.161062, 11.161062, 10.284952, 11.161062, 10.372155, 11.030677, 9.868433, 9.868433, 9.547715, 9.547715, 9.060427, 9.547715, 8.986828, 9.868433, 9.849867, 9.849867, 8.504431, 8.504431, 9.525453, 9.525453, 11.062155","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 47.779406, 44.498487, 44.498487, 42.914365, 44.498487, 41.499516, 56.382427, 54.06433199999999, 54.06433199999999, 51.6773, 51.6773, 47.156525, 51.6773, 48.041826, 54.06433199999999, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.75103299999999"
UMi,7,"2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 16.291791, 16.291791, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 15.734298999999998","89.26410899999998, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493"
Var,22,"20.795621, 20.794598, 20.794598, 20.877565, 20.877565, 21.525982, 21.525982, 22.096399, 22.096399, 22.360938, 22.360938, 22.480531, 22.480531, 22.421284, 22.589272, 22.480531, 22.360938, 22.87691, 22.87691, 23.280817000000006, 23.280817000000006, 23.298393, 23.298393, 23.880702, 23.880702, 23.874998, 23.874998, 23.382842, 23.382842, 22.910837, 22.910837, 22.826528, 22.826528, 22.107286, 22.107286, 21.525982, 22.360938, 22.336643, 22.336643, 22.107286, 23.855927, 23.766922, 23.766922, 23.696057","-5.027701, -9.495776, -9.495776, -8.983317999999997, -8.983317999999997, -5.571172, -5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.019972, -0.019972, 1.377401, -0.117498, -0.019972, -1.387331, -7.579599000000001, -7.579599000000001, -7.7265039999999985, -7.7265039999999985, -9.182513, -9.182513, -8.996756, -8.996756, -14.251217, -14.251217, -20.10058, -20.10058, -15.82082, -15.82082, -13.592632, -13.592632, -13.869679, -13.869679, -5.571172, -1.387331, -7.8211020000000016, -7.8211020000000016, -13.869679, -18.909163, -18.67834, -18.67834, -17.816533"
Vca,16,"13.824623, 13.911411, 13.911411, 14.68582, 14.68582, 14.754017, 14.754017, 14.749784, 14.749784, 15.258376, 15.258376, 15.032436, 15.032436, 14.534636, 14.534636, 14.5305, 14.5305, 14.749784, 14.749784, 13.911411, 13.911411, 13.78771, 15.258376, 15.408181, 15.408181, 15.529718, 14.534636, 14.273074, 14.273074, 14.224718, 14.419967000000002, 14.273074","15.797904999999998, 18.397717, 18.397717, 13.7283, 13.7283, 16.96428, 16.96428, 27.074222, 27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 27.074222, 27.074222, 18.397717, 18.397717, 17.456906, 33.314833, 37.377167, 37.377167, 40.899332, 38.308253, 46.088305, 46.088305, 51.789965, 51.850744, 46.088305"
Vir,16,"13.419883, 12.694345, 12.694345, 12.331766, 12.331766, 11.844922, 11.844922, 11.764322, 11.764322, 12.014553, 12.014553, 12.086817, 12.694345, 12.926725, 12.926725, 13.578220000000002, 13.578220000000002, 13.419883, 15.022174, 14.850298, 14.850298, 14.770812, 14.770812, 14.989754, 14.989754, 14.694097, 14.694097, 14.027443, 14.027443, 13.578220000000002, 12.926725, 13.036278","-11.161322, -1.449375, -1.449375, -0.6668029999999999, -0.6668029999999999, 1.764718, 1.764718, 6.529376, 6.529376, 6.6143220000000005, 6.6143220000000005, 8.732985000000001, -1.449375, 3.39747, 3.39747, -0.59582, -0.59582, -11.161322, -2.754927, -2.29915, -2.29915, 1.892885, 1.892885, 4.567761, 4.567761, 8.161764, 8.161764, 1.544532, 1.544532, -0.59582, 3.39747, 10.95915"
Vri,6,"4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943, 4.476943, 4.5591800000000005, 4.5591800000000005, 4.598677","16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431, 19.180431, 18.016722, 18.016722, 16.509301"
