ast_ID,vals,ra,dec
40,5,"6.752481, 7.139857000000001, 6.935617999999999, 6.654644, 6.654644, 6.6113990000000005, 7.401584, 7.139857000000001, 7.139857000000001, 6.9770970000000005","-16.716116, -26.3932, -17.054242000000002, -14.145764000000002, -14.145764000000002, -19.255879, -29.303104, -26.3932, -26.3932, -28.972084"
41,5,"8.125736999999999, 7.567551, 7.567551, 7.050408999999998, 7.050408999999998, 6.338553, 6.338553, 5.849329, 5.849329, 8.125736999999999","-24.304324, -22.296067, -22.296067, -23.833291, -23.833291, -30.063367, -30.063367, -35.768309, -35.768309, -24.304324"
42,19,"14.106193, 13.315359, 13.315359, 13.150909, 13.150909, 11.881813, 11.881813, 11.550038, 11.550038, 11.194302, 11.194302, 10.996244, 10.996244, 10.827079, 10.827079, 10.434842, 10.434842, 10.176467, 10.176467, 9.85797, 9.85797, 9.45979, 9.45979, 9.533036, 9.533036, 9.239405, 9.239405, 8.92323, 8.92323, 8.779587, 8.779587, 8.627602, 8.627602, 8.645955, 8.645955, 8.720410000000001, 8.720410000000001, 8.779587","-26.682361, -23.171512, -23.171512, -23.11807, -23.11807, -33.908124, -33.908124, -31.857625, -31.857625, -22.825847, -22.825847, -18.298783, -18.298783, -16.193648, -16.193648, -16.836289999999998, -16.836289999999998, -12.354083, -12.354083, -14.846603, -14.846603, -8.658603, -8.658603, -1.184664, -1.184664, 2.31428, 2.31428, 5.945563, 5.945563, 6.418809, 6.418809, 5.703782, 5.703782, 3.341435, 3.341435, 3.3986620000000003, 3.3986620000000003, 6.418809"
43,5,"12.140225, 12.168746, 12.168746, 12.263437, 12.263437, 12.497739, 12.497739, 12.573121, 12.573121, 12.140225","-24.728875, -22.619766, -22.619766, -17.541929, -17.541929, -16.515432, -16.515432, -23.396759, -23.396759, -24.728875"
44,4,"11.764322, 12.694345, 12.694345, 13.419883, 12.694345, 12.926725, 12.926725, 13.036278","6.529376, -1.449375, -1.449375, -11.161322, -1.449375, 3.39747, 3.39747, 10.95915"
45,11,"15.283449, 14.847976999999998, 14.847976999999998, 14.214929, 14.214929, 14.266908, 14.266908, 14.717673, 14.717673, 14.847976999999998, 15.283449, 14.717673, 14.717673, 14.770812, 14.770812, 15.048344, 15.048344, 15.283449, 15.048344, 14.717673, 14.717673, 14.214929","-9.382917, -16.041778, -16.041778, -10.273702, -10.273702, -6.000547, -6.000547, -5.658207, -5.658207, -16.041778, -9.382917, -5.658207, -5.658207, 1.892885, 1.892885, 2.091303, 2.091303, -9.382917, 2.091303, -5.658207, -5.658207, -10.273702"
46,12,"17.172968, 17.443856, 17.443856, 17.724543, 17.724543, 17.582241, 17.582241, 16.961139000000006, 16.961139000000006, 16.239094, 16.961139000000006, 16.619316, 16.619316, 16.518991, 16.518991, 16.401718, 16.401718, 16.535611, 17.172968, 17.366827, 17.172968, 16.619316, 17.724543, 17.983775","-15.72491, -5.086596, -5.086596, 4.567303, 4.567303, 12.560035, 12.560035, 9.375033, 9.375033, -3.694323, 9.375033, -10.56709, -10.56709, -16.612733, -16.612733, -20.037327, -20.037327, -21.46639, -15.72491, -24.999545, -15.72491, -10.56709, 4.567303, -9.773632"
47,15,"18.786242, 19.424972, 19.10415, 19.424972, 19.424972, 19.846388, 20.188413, 19.424972, 19.424972, 19.090169, 19.846388, 19.921887, 19.921887, 20.553547, 20.553547, 20.724315, 20.724315, 20.77764, 20.77764, 20.660635, 20.660635, 20.625816, 20.625816, 19.770994, 19.770994, 19.846388, 19.921887, 20.188413, 19.770994, 19.090169","-4.7478669999999985, 3.114775, -4.882554, 3.114775, 3.114775, 8.868322000000003, -0.8214610000000001, 3.114775, 3.114775, 13.863478, 8.868322000000003, 6.406763, 6.406763, 11.303263, 11.303263, 15.074581, 15.074581, 16.124295999999998, 16.124295999999998, 15.912072, 15.912072, 14.595087, 14.595087, 10.613261, 10.613261, 8.868322000000003, 6.406763, -0.8214610000000001, 10.613261, 13.863478"
48,7,"20.652161, 21.241337, 21.241337, 21.263731, 21.263731, 20.652161, 20.652161, 20.386304, 20.386304, 20.494167, 20.638967, 20.61212, 20.61212, 20.494167","10.086203, 10.006981, 10.006981, 5.247845, 5.247845, 10.086203, 10.086203, 5.342987, 5.342987, -2.8855310000000003, -1.105121, -2.549957, -2.549957, -2.8855310000000003"
49,9,"22.932472, 22.960838, 22.960838, 22.875427, 22.960838, 22.52509, 22.52509, 22.139722, 22.139722, 21.749113, 21.749113, 21.795598, 21.795598, 22.169093, 22.169093, 22.677594, 22.677594, 22.960838","-32.539628, -29.622236, -29.622236, -32.875504, -29.622236, -32.346073, -32.346073, -32.988468, -32.988468, -33.025781, -33.025781, -30.898304, -30.898304, -32.548407, -32.548407, -27.043617, -27.043617, -29.622236"
