ast_ID,vals,ra,dec
25,25,"1.628556, 1.932564, 1.932564, 2.275154, 2.275154, 2.449755, 2.449755, 2.663326, 2.663326, 2.677781, 2.677781, 2.971023, 2.971023, 3.331944, 3.331944, 3.809963, 3.809963, 3.824237, 3.824237, 4.298237, 4.298237, 4.400613, 4.400613, 4.592512, 4.592512, 3.780804, 3.780804, 3.563132, 3.563132, 3.325278, 3.325278, 3.039863, 3.039863, 2.7517150000000004, 2.7517150000000004, 2.940458, 2.940458, 3.263896, 3.263896, 3.5488480000000004, 3.5488480000000004, 3.720806, 3.720806, 4.6053169999999986, 4.6053169999999986, 4.758375, 4.758375, 4.881575, 4.881575, 5.130829","-57.236757, -51.608896, -51.608896, -51.512165, -51.512165, -47.70384, -47.70384, -42.89167, -42.89167, -39.855375, -39.855375, -40.304672, -40.304672, -43.06978400000001, -43.06978400000001, -37.620155, -37.620155, -36.20025, -36.20025, -33.798348, -33.798348, -34.016846, -34.016846, -30.562341, -30.562341, -23.249723, -23.249723, -21.632883, -21.632883, -21.757864, -21.757864, -23.624472, -23.624472, -18.572563, -18.572563, -8.898144, -8.898144, -8.81973, -8.81973, -9.458262, -9.458262, -9.763395, -9.763395, -3.352459, -3.352459, -3.254657, -3.254657, -5.4526949999999985, -5.4526949999999985, -5.086446"
26,16,"6.628528, 7.0684809999999985, 7.0684809999999985, 7.335383, 7.335383, 7.30155, 7.30155, 6.754824, 7.335383, 7.598708, 7.598708, 7.740792999999999, 7.598708, 7.755277, 7.598708, 7.428779, 7.428779, 7.1856589999999985, 7.1856589999999985, 7.5766339999999985, 7.1856589999999985, 6.879816, 7.1856589999999985, 6.732202, 6.732202, 6.482719, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.247961, 6.247961, 6.068671","16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341"
27,20,"17.657747, 17.93755, 17.93755, 17.394707999999998, 17.394707999999998, 17.294517000000006, 17.294517000000006, 17.250788, 17.250788, 16.714933, 16.714933, 16.568384, 16.568384, 16.329010999999998, 16.329010999999998, 15.877903, 16.714933, 16.688113, 16.688113, 16.503667999999998, 16.503667999999998, 16.365338, 16.688113, 17.004827, 17.004827, 17.250531, 17.512307999999994, 17.250531, 17.774319000000006, 17.962744, 17.962744, 18.125708, 17.962744, 17.774319000000006, 17.004827, 17.250788, 17.512307999999994, 17.774319000000006, 17.250531, 17.244127","46.006332, 37.250539, 37.250539, 37.145946, 37.145946, 37.291498, 37.291498, 36.809162, 36.809162, 38.922254, 38.922254, 42.437041, 42.437041, 46.313366, 46.313366, 42.451518, 38.922254, 31.602726, 31.602726, 21.489613, 21.489613, 19.15313, 31.602726, 30.926405, 30.926405, 24.839204, 26.110645, 24.839204, 27.720676, 29.24788, 29.24788, 28.762488, 29.24788, 27.720676, 30.926405, 36.809162, 26.110645, 27.720676, 24.839204, 14.390332999999998"
28,20,"8.720410000000001, 8.645955, 8.645955, 8.627602, 8.627602, 8.779587, 8.779587, 8.807214, 8.807214, 8.720410000000001, 8.807214, 8.92323, 8.92323, 9.239405, 9.239405, 9.533036, 9.533036, 9.485805, 9.485805, 9.45979, 9.45979, 9.85797, 9.85797, 10.176467, 10.176467, 10.434842, 10.434842, 10.827079, 10.827079, 11.550038, 11.550038, 11.881813, 11.881813, 13.150909, 13.150909, 13.315359, 13.315359, 14.106193, 14.106193, 14.838147","3.3986620000000003, 3.341435, 3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.837812, 5.837812, 3.3986620000000003, 5.837812, 5.945563, 5.945563, 2.31428, 2.31428, -1.184664, -1.184664, -2.768964, -2.768964, -8.658603, -8.658603, -14.846603, -14.846603, -12.354083, -12.354083, -16.836289999999998, -16.836289999999998, -16.193648, -16.193648, -31.857625, -31.857625, -33.908124, -33.908124, -23.11807, -23.11807, -23.171512, -23.171512, -26.682361, -26.682361, -27.960371"
29,10,"11.817663, 11.237335, 11.237335, 10.139532, 10.139532, 10.122209, 10.122209, 10.332873, 10.332873, 11.235138, 11.235138, 11.817663, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188, 11.235138, 11.237335","14.57206, 15.429570000000002, 15.429570000000002, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489000000006, 19.841489000000006, 20.523717, 20.523717, 14.57206, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 20.523717, 15.429570000000002"
30,14,"6.10259, 5.940082, 5.940082, 5.782595, 5.782595, 5.545504, 5.545504, 5.215528, 5.545504, 5.855357, 5.855357, 5.741057, 5.741057, 5.470756, 5.470756, 5.091018, 5.545504, 5.470756, 5.215528, 5.326257, 5.215528, 5.220522, 5.091018, 5.215528, 5.220522, 5.204973000000002, 5.326257, 5.333062","-14.935254, -14.1677, -14.1677, -14.82195, -14.82195, -17.822289, -17.822289, -16.205468, -17.822289, -20.879089, -20.879089, -22.448382, -22.448382, -20.759441, -20.759441, -22.371032, -17.822289, -20.759441, -16.205468, -13.176788, -16.205468, -12.941291, -22.371032, -16.205468, -12.941291, -11.869219, -13.176788, -12.315585"
31,5,"15.897093, 15.592104999999998, 15.592104999999998, 15.283449, 15.283449, 14.847976999999998, 14.847976999999998, 15.067839, 15.067839, 15.592104999999998","-16.729293, -14.789537, -14.789537, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965, -25.281965, -14.789537"
32,5,"18.61564, 18.746209, 18.746209, 18.834665, 18.834665, 18.982395, 18.982395, 18.908412, 18.908412, 18.746209","38.783692, 37.60511500000001, 37.60511500000001, 33.362667, 33.362667, 32.689557, 32.689557, 36.898613, 36.898613, 37.60511500000001"
33,7,"17.582241, 17.724543, 17.172968, 17.724543, 17.582241, 16.961139000000006, 16.961139000000006, 16.305358, 16.305358, 16.619316, 16.619316, 17.172968, 17.172968, 17.523598","12.560035, 4.567303, -15.72491, 4.567303, 12.560035, 9.375033, 9.375033, -4.692511, -4.692511, -10.56709, -10.56709, -15.72491, -15.72491, -23.962643"
34,21,"5.679313, 5.603559, 5.603559, 5.533445, 6.057601999999998, 6.198999, 6.198999, 6.126201, 6.126201, 5.906386, 6.198999, 6.039722, 6.039722, 5.919529, 5.919529, 5.679313, 5.679313, 5.795941, 5.795941, 5.242298, 5.242298, 5.533445, 5.533445, 5.418851, 5.418851, 5.5856330000000005, 5.5856330000000005, 5.919529, 5.418851, 4.830669, 4.830669, 4.853434, 4.853434, 4.889659, 4.889659, 4.975806, 4.830669, 4.843534, 4.843534, 4.914924, 6.126201, 6.039722","-1.942572, -1.20192, -1.20192, -0.299092, 19.690561, 14.208765, 14.208765, 14.768472, 14.768472, 20.276174, 14.208765, 9.647276, 9.647276, 7.407063000000001, 7.407063000000001, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092, -0.299092, 6.349702, 6.349702, 9.934158, 9.934158, 7.407063000000001, 6.349702, 6.961276, 6.961276, 5.605104, 5.605104, 2.508225, 2.508225, 1.714016, 6.961276, 8.900176, 8.900176, 10.150833, 14.768472, 9.647276"
