star_ID,count,ra,dec,size
92855,12,18.92109,-26.296721999999995,179
69673,12,14.261029999999998,19.18241,179
49583,12,10.122209,16.762664,179
60965,12,12.497739,-16.515432,179
89642,12,18.293793,-36.761686,179
85696,12,17.512732,-37.295811,179
65474,12,13.419883,-11.161322,179
101958,12,20.660635,15.912072,179
89931,12,18.3499,-29.828103,179
62434,11,12.795359,-59.688764,156
25428,11,5.438198000000001,28.60745,156
85822,11,17.536918,86.58646,156
67927,11,13.911411,18.397717,156
91971,11,18.746209,37.60511500000001,156
102532,11,20.77764,16.124295999999998,156
9884,11,2.119555,23.462423,156
72622,11,14.847976999999998,-16.041778,156
15863,11,3.405378,49.86118,156
100345,11,20.350187,-14.781367,156
17573,11,3.763779,24.367748,156
30343,11,6.3826730000000005,22.513586,156
54872,11,11.235138,20.523717,156
80112,11,16.353143,-25.592796,156
57632,11,11.817663,14.57206,156
101769,11,20.625816,14.595087,156
61359,11,12.573121,-23.396759,156
60742,11,12.448966,28.268423,156
77055,11,15.734298999999998,77.794493,156
82080,11,16.766159,82.037262,156
59803,11,12.263437,-17.541929,156
59747,11,12.252427,-58.748928,156
93506,11,19.043532,-29.880105,156
14576,11,3.136148,40.955648,156
32246,11,6.732202,25.131124,156
92420,11,18.834665,33.362667,156
22449,11,4.830669,6.961276,156
8832,11,1.89217,19.293852,156
54879,11,11.237335,15.429570000000002,156
98036,10,19.921887,6.406763,135
5447,10,1.162194,35.620558,135
73555,10,15.032436,40.390566,135
13268,10,2.844945,55.895496,135
98110,10,19.938438,35.083424,135
106278,10,21.525982,-5.571172,135
92791,10,18.908412,36.898613,135
42911,10,8.74475,18.154309,135
18532,10,3.96423,40.010215,135
32362,10,6.754824,12.895591,135
93174,10,18.978721,-37.107357,135
93194,10,18.982395,32.689557,135
42402,10,8.645955,3.341435,135
93542,10,19.051907,-42.095105,135
94376,10,19.209225,67.661541,135
92041,10,18.76094,-26.990778,135
72105,10,14.749784,27.074222,135
100064,10,20.300904,-12.544852,135
74785,10,15.283449,-9.382917,135
93825,10,19.106971,-37.063437,135
28360,10,5.992149,44.947433,135
17489,10,3.746726,24.28947,135
95947,10,19.512023000000006,27.959681,135
