star_ID_pair,culture,ras,decs
"88726, 89507",lokono,"18.113858, 18.264843","-43.425216, -44.206461"
"87936, 88726",lokono,"17.963279, 18.113858","-41.716295, -43.425216"
"87390, 87936",lokono,"17.85904, 17.963279","-40.772461, -41.716295"
"87073, 87390",lokono,"17.793078, 17.85904","-40.126997, -40.772461"
"86670, 87073",lokono,"17.708132, 17.793078","-39.029983, -40.126997"
"86670, 87294",lokono,"17.708132, 17.83642","-39.029983, -40.090435"
"87294, 87865",lokono,"17.83642, 17.948860999999994","-40.090435, -40.305643"
"87865, 90037",lokono,"17.948860999999994, 18.371828","-40.305643, -38.656894"
"90037, 90968",lokono,"18.371828, 18.556426","-38.656894, -38.725985"
"90968, 91875",lokono,"18.556426, 18.729706","-38.725985, -38.323441"
"91875, 92989",lokono,"18.729706, 18.944582","-38.323441, -37.343241"
"92989, 93174",lokono,"18.944582, 18.978721","-37.343241, -37.107357"
"89642, 90037",lokono,"18.293793, 18.371828","-36.761686, -38.656894"
"89642, 90185",lokono,"18.293793, 18.402868","-36.761686, -34.384615999999994"
"90185, 90763",lokono,"18.402868, 18.518012","-34.384615999999994, -32.989114"
"90763, 91014",lokono,"18.518012, 18.566046","-32.989114, -33.01656"
"91014, 91918",lokono,"18.566046, 18.738711","-33.01656, -35.641987"
"91875, 91918",lokono,"18.729706, 18.738711","-38.323441, -35.641987"
"89290, 90982",lokono,"18.220194, 18.558383","-41.336111, -42.31251"
"90982, 92226",lokono,"18.558383, 18.795726","-42.31251, -40.406167"
"91992, 92226",lokono,"18.749787, 18.795726","-39.750118, -40.406167"
"90887, 91992",lokono,"18.539257, 18.749787","-39.704001, -39.750118"
"25861, 26126",lokono,"5.520703, 5.571326","3.292133, 3.766895"
"25473, 25861",lokono,"5.447286, 5.520703","3.0956740000000003, 3.292133"
"25142, 25473",lokono,"5.380556, 5.447286","3.544452, 3.0956740000000003"
"24817, 25142",lokono,"5.319783, 5.380556","2.595806, 3.544452"
"24607, 24817",lokono,"5.278067, 5.319783","1.947328, 2.595806"
"24203, 24607",lokono,"5.195931, 5.278067","1.037028, 1.947328"
"23680, 24203",lokono,"5.089921, 5.195931","1.177627, 1.037028"
"23123, 23680",lokono,"4.975806, 5.089921","1.714016, 1.177627"
"22797, 23123",lokono,"4.904193, 4.975806","2.440672, 1.714016"
"22549, 22797",lokono,"4.853434, 4.904193","5.605104, 2.440672"
"22449, 22549",lokono,"4.830669, 4.853434","6.961276, 5.605104"
"22449, 22509",lokono,"4.830669, 4.843534","6.961276, 8.900176"
"26207, 26366",lokono,"5.5856330000000005, 5.615108","9.934158, 9.290673"
"22509, 22833",lokono,"4.843534, 4.913027","8.900176, 11.426006"
"22833, 22957",lokono,"4.913027, 4.939521","11.426006, 13.514466"
"22957, 23607",lokono,"4.939521, 5.076153","13.514466, 15.404105"
"23607, 24197",lokono,"5.076153, 5.194879","15.404105, 16.045673"
"24197, 25216",lokono,"5.194879, 5.393807","16.045673, 16.699298000000002"
"25216, 25555",lokono,"5.393807, 5.462669","16.699298000000002, 15.874052"
"25555, 25790",lokono,"5.462669, 5.507268","15.874052, 15.360449"
"25790, 26093",lokono,"5.507268, 5.565079","15.360449, 14.305578"
"26093, 26207",lokono,"5.565079, 5.5856330000000005","14.305578, 9.934158"
"26207, 26366",lokono,"5.5856330000000005, 5.615108","9.934158, 9.290673"
"26366, 26518",lokono,"5.615108, 5.639371","9.290673, 8.48731"
"26487, 26518",lokono,"5.633644, 5.639371","7.54142, 8.48731"
"64022, 64394",lokono,"13.119646, 13.197904","27.624741, 27.878183"
"62763, 64022",lokono,"12.861645, 13.119646","27.540712, 27.624741"
"62576, 62763",lokono,"12.821516, 12.861645","27.552379, 27.540712"
"60904, 62576",lokono,"12.481863, 12.821516","25.912852, 27.552379"
"60746, 60904",lokono,"12.449805, 12.481863","26.825699, 25.912852"
"60697, 60746",lokono,"12.440017999999998, 12.449805","27.268237, 26.825699"
"60697, 60742",lokono,"12.440017999999998, 12.448966","27.268237, 28.268423"
"60904, 61071",lokono,"12.481863, 12.516823","25.912852, 24.567168"
"61071, 61295",lokono,"12.516823, 12.559506","24.567168, 24.282984"
"60514, 60904",lokono,"12.405146, 12.481863","26.098606, 25.912852"
"60170, 60514",lokono,"12.3388, 12.405146","26.619482, 26.098606"
"60904, 60941",lokono,"12.481863, 12.490845","25.912852, 24.108925"
"60351, 60904",lokono,"12.375087, 12.481863","25.84616, 25.912852"
"60168, 60351",lokono,"12.338267, 12.375087","26.001875, 25.84616"
"60525, 60904",lokono,"12.407446, 12.481863","25.582404, 25.912852"
"60327, 60525",lokono,"12.369675, 12.407446","24.773866, 25.582404"
"60599, 60904",lokono,"12.420863, 12.481863","23.926202, 25.912852"
"60197, 60904",lokono,"12.344827, 12.481863","27.054545, 25.912852"
"81693, 83207",lokono,"16.688113, 17.004827","31.602726, 30.926405"
"80816, 81693",lokono,"16.503667999999998, 16.688113","21.489613, 31.602726"
"80170, 80816",lokono,"16.365338, 16.503667999999998","19.15313, 21.489613"
"78072, 80170",lokono,"15.940882, 16.365338","15.661617, 19.15313"
"77233, 78072",lokono,"15.769793, 15.940882","15.421826, 15.661617"
"77233, 77450",lokono,"15.769793, 15.812327","15.421826, 18.141564"
"81693, 81833",lokono,"16.688113, 16.714933","31.602726, 38.922254"
"81126, 81833",lokono,"16.568384, 16.714933","42.437041, 38.922254"
"79992, 81126",lokono,"16.329010999999998, 16.568384","46.313366, 42.437041"
"79101, 79992",lokono,"16.146162, 16.329010999999998","44.934906, 46.313366"
"78159, 81693",lokono,"15.959794, 16.688113","26.87788, 31.602726"
"77512, 78159",lokono,"15.826570000000002, 15.959794","26.068394, 26.87788"
"76952, 77512",lokono,"15.712381, 15.826570000000002","26.295637, 26.068394"
"76267, 76952",lokono,"15.578128, 15.712381","26.714693, 26.295637"
"75695, 76267",lokono,"15.463818, 15.578128","29.105703, 26.714693"
"74666, 75695",lokono,"15.258376, 15.463818","33.314833, 29.105703"
"74666, 75411",lokono,"15.258376, 15.408181","33.314833, 37.377167"
"65378, 67301",lokono,"13.398747, 13.792354","54.925362, 49.313265"
"62956, 65378",lokono,"12.900472, 13.398747","55.959821, 54.925362"
"59774, 62956",lokono,"12.257086, 12.900472","57.032617, 55.959821"
"54061, 59774",lokono,"11.062155, 12.257086","61.75103299999999, 57.032617"
"53910, 54061",lokono,"11.030677, 11.062155","56.382427, 61.75103299999999"
"53910, 58001",lokono,"11.030677, 11.897168","56.382427, 53.69476"
"58001, 59774",lokono,"11.897168, 12.257086","53.69476, 57.032617"
"17702, 17847",lokono,"3.79141, 3.819373","24.105137, 24.053415"
"17608, 17702",lokono,"3.772104, 3.79141","23.948358, 24.105137"
"17499, 17608",lokono,"3.747927, 3.772104","24.113339, 23.948358"
"17489, 17499",lokono,"3.746726, 3.747927","24.28947, 24.113339"
"17489, 17531",lokono,"3.746726, 3.75347","24.28947, 24.467278"
"17531, 17702",lokono,"3.75347, 3.79141","24.467278, 24.105137"
"1067, 113963",lokono,"0.220598, 23.079348","15.183596, 15.205264"
"113881, 113963",lokono,"23.062901, 23.079348","28.082789, 15.205264"
"677, 113881",lokono,"0.139791, 23.062901","29.090432, 28.082789"
"677, 1067",lokono,"0.139791, 0.220598","29.090432, 15.183596"
"20885, 21421",lokono,"4.476248, 4.598677","15.962181, 16.509301"
"20205, 20885",lokono,"4.329889, 4.476248","15.627642000000002, 15.962181"
"20205, 20455",lokono,"4.329889, 4.382247","15.627642000000002, 17.542514"
"20455, 20889",lokono,"4.382247, 4.476943","17.542514, 19.180431"
"60718, 61084",lokono,"12.443311, 12.519429","-63.09909200000001, -57.113212"
"59747, 62434",lokono,"12.252427, 12.795359","-58.748928, -59.688764"
"26311, 26727",lokono,"5.603559, 5.679313","-1.20192, -1.942572"
"25930, 26311",lokono,"5.533445, 5.603559","-0.299092, -1.20192"
"85696, 85927",lokono,"17.512732, 17.560145000000002","-37.295811, -37.103821"
"983, 1170",korean,"0.202773, 0.24400500000000006","-17.938278, -18.932866"
"301, 983",korean,"0.06233, 0.202773","-17.335988, -17.938278"
"301, 910",korean,"0.06233, 0.187739","-17.335988, -15.467977"
"355, 910",korean,"0.075033, 0.187739","-10.509523, -15.467977"
"355, 117567",korean,"0.075033, 23.842579","-10.509523, -14.40149"
"116971, 117567",korean,"23.712039, 23.842579","-14.544904999999998, -14.40149"
"116957, 116971",korean,"23.707729, 23.712039","-15.448033, -14.544904999999998"
"116901, 116957",korean,"23.696057, 23.707729","-17.816533, -15.448033"
"116901, 117218",korean,"23.696057, 23.766922","-17.816533, -18.67834"
"117218, 117629",korean,"23.766922, 23.855927","-18.67834, -18.909163"
"355, 1158",korean,"0.075033, 0.241008","-10.509523, -7.780532000000001"
"443, 1158",korean,"0.088928, 0.241008","-5.707618, -7.780532000000001"
"145, 443",korean,"0.030402, 0.088928","-3.027504, -5.707618"
"145, 664",korean,"0.030402, 0.136693","-3.027504, -2.447711"
"145, 118209",korean,"0.030402, 23.977883","-3.027504, -3.5559830000000003"
"443, 840",korean,"0.088928, 0.171908","-5.707618, -5.248588"
"154, 443",korean,"0.032672, 0.088928","-6.0140720000000005, -5.707618"
"116591, 116971",korean,"23.627655, 23.712039","-13.060243, -14.544904999999998"
"116591, 116853",korean,"23.627655, 23.685809","-13.060243, -11.680655"
"116853, 117314",korean,"23.685809, 23.787754","-11.680655, -11.911126"
"117314, 117541",korean,"23.787754, 23.837425","-11.911126, -9.974136"
"115115, 116591",korean,"23.316021, 23.627655","-9.61075, -13.060243"
"115033, 115115",korean,"23.298393, 23.316021","-9.182513, -9.61075"
"114855, 115033",korean,"23.264859, 23.298393","-9.087737, -9.182513"
"114855, 114939",korean,"23.264859, 23.280817000000006","-9.087737, -7.7265039999999985"
"114724, 114939",korean,"23.238711, 23.280817000000006","-6.049003, -7.7265039999999985"
"113996, 114724",korean,"23.086052, 23.238711","-7.693801, -6.049003"
"115115, 115125",korean,"23.316021, ","-9.61075, "
"115125, 115404",korean,", 23.377547",", -15.039338"
"115404, 115438",korean,"23.377547, 23.382842","-15.039338, -20.10058"
"115438, 115669",korean,"23.382842, 23.434108","-20.10058, -20.642014"
"115669, 116247",korean,"23.434108, 23.554618","-20.642014, -20.914504"
"112716, 115126",korean,"22.826528, 23.318518","-13.592632, -13.458552"
"112211, 112716",korean,"22.726454, 22.826528","-18.830375, -13.592632"
"112211, 112529",korean,"22.726454, 22.792535","-18.830375, -19.613375"
"112529, 114341",korean,"22.792535, 23.157443","-19.613375, -21.17241"
"114341, 114375",korean,"23.157443, 23.165249","-21.17241, -22.457611"
"114119, 114375",korean,"23.111345, 23.165249","-23.743115, -22.457611"
"114724, 115142",korean,"23.238711, 23.323327","-6.049003, -5.124352"
"60260, 60718",korean,"12.356031, 12.443311","-60.401147, -63.09909200000001"
"60260, 61084",korean,"12.356031, 12.519429","-60.401147, -57.113212"
"59196, 61084",korean,"12.13931, 12.519429","-50.722425, -57.113212"
"59196, 60823",korean,"12.13931, 12.467331","-50.722425, -50.230635"
"60823, 61932",korean,"12.467331, 12.691971","-50.230635, -48.959888"
"61932, 66657",korean,"12.691971, 13.664796","-48.959888, -53.466394"
"66657, 70069",korean,"13.664796, 14.338763","-53.466394, -56.386497"
"70069, 70069",korean,"14.338763, 14.338763","-56.386497, -56.386497"
"70069, 70264",korean,"14.338763, 14.376971","-56.386497, -58.459117000000006"
"63003, 70264",korean,"12.9099, 14.376971","-57.177924, -58.459117000000006"
"61084, 62434",korean,"12.519429, 12.795359","-57.113212, -59.688764"
"59747, 61084",korean,"12.252427, 12.519429","-58.748928, -57.113212"
"66657, 68523",korean,"13.664796, 14.028748","-53.466394, -45.603421"
"68282, 68523",korean,"13.977987, 14.028748","-44.803584, -45.603421"
"67472, 68282",korean,"13.826943, 13.977987","-42.473732, -44.803584"
"65109, 67472",korean,"13.343296, 13.826943","-36.71229500000001, -42.473732"
"64408, 65109",korean,"13.200901000000002, 13.343296","-37.803022, -36.71229500000001"
"62896, 64408",korean,"12.890607, 13.200901000000002","-40.178872, -37.803022"
"61932, 62896",korean,"12.691971, 12.890607","-48.959888, -40.178872"
"61932, 62896",korean,"12.691971, 12.890607","-48.959888, -40.178872"
"70069, 74395",korean,"14.338763, 15.20476","-56.386497, -52.099247"
"74376, 74395",korean,"15.198918, 15.20476","-48.737819, -52.099247"
"74376, 74911",korean,"15.198918, 15.308897","-48.737819, -47.875272"
"70264, 74824",korean,"14.376971, 15.291917000000002","-58.459117000000006, -58.801208"
"55282, 55705",korean,"11.322347, 11.414702","-14.778541, -17.68401"
"54682, 55705",korean,"11.194302, 11.414702","-22.825847, -17.68401"
"53740, 54682",korean,"10.996244, 11.194302","-18.298783, -22.825847"
"53740, 55282",korean,"10.996244, 11.322347","-18.298783, -14.778541"
"52943, 53740",korean,"10.827079, 10.996244","-16.193648, -18.298783"
"55705, 57283",korean,"11.414702, 11.746049","-17.68401, -18.350674"
"54029, 55282",korean,"11.054133, 11.322347","-11.30347, -14.778541"
"54029, 55687",korean,"11.054133, 11.410164","-11.30347, -10.859323"
"55687, 56802",korean,"11.410164, 11.644449","-10.859323, -13.201943"
"55687, 56633",korean,"11.410164, 11.611365","-10.859323, -9.802247"
"56633, 58576",korean,"11.611365, 12.012347","-9.802247, -10.446014"
"54204, 54682",korean,"11.088867, 11.194302","-27.293612, -22.825847"
"54204, 54477",korean,"11.088867, 11.145557","-27.293612, -28.08067"
"54477, 56280",korean,"11.145557, 11.53789","-28.08067, -29.261022"
"51172, 54204",korean,"10.45253, 11.088867","-31.067779, -27.293612"
"51172, 53502",korean,"10.45253, 10.945289","-31.067779, -37.137765"
"53502, 55756",korean,"10.945289, 11.424852","-37.137765, -36.063062"
"55756, 56922",korean,"11.424852, 11.670221000000002","-36.063062, -34.74466"
"56922, 57936",korean,"11.670221000000002, 11.881813","-34.74466, -33.908124"
"114622, 115990",korean,"23.221098, 23.500536","57.16835500000001, 58.54892"
"113561, 114622",korean,"23.001417, 23.221098","56.945374, 57.16835500000001"
"113561, 114104",korean,"23.001417, 23.110226","56.945374, 59.41976"
"114104, 115990",korean,"23.110226, 23.500536","59.41976, 58.54892"
"115990, 117301",korean,"23.500536, 23.784284","58.54892, 58.651989"
"117301, 117863",korean,"23.784284, 23.906398","58.651989, 57.499382"
"117863, 118243",korean,"23.906398, 23.983482","57.499382, 55.754928"
"114924, 118243",korean,"23.278405, 23.983482","53.213476, 55.754928"
"113919, 114924",korean,"23.069702, 23.278405","50.052091, 53.213476"
"113919, 114570",korean,"23.069702, 23.20916","50.052091, 49.406207"
"114570, 115022",korean,"23.20916, 23.295732","49.406207, 49.0153"
"115022, 116584",korean,"23.295732, 23.626056","49.0153, 46.458152"
"116584, 116805",korean,"23.626056, 23.673469","46.458152, 44.333932"
"116631, 116805",korean,"23.63561, 23.673469","43.268073, 44.333932"
"113726, 116631",korean,"23.032017, 23.63561","42.325979, 43.268073"
"113288, 113919",korean,"22.940555, 23.069702","49.733544, 50.052091"
"113327, 113919",korean,"22.95125, 23.069702","48.684068, 50.052091"
"41075, 43531",korean,"8.380588000000001, 8.865787","43.188131, 43.726603"
"43531, 44248",korean,"8.865787, 9.010685","43.726603, 41.782911"
"44248, 44700",korean,"9.010685, 9.108825","41.782911, 38.452215"
"44700, 45688",korean,"9.108825, 9.314069","38.452215, 36.802597"
"45688, 45860",korean,"9.314069, 9.350925","36.802597, 34.392562"
"45860, 46146",korean,"9.350925, 9.410906","34.392562, 26.182324"
"46146, 46750",korean,"9.410906, 9.528675","26.182324, 22.967971"
"46750, 47908",korean,"9.528675, 9.764188","22.967971, 23.774255"
"47908, 48455",korean,"9.764188, 9.879398","23.774255, 26.006951"
"48455, 50335",korean,"9.879398, 10.278171","26.006951, 23.417311"
"50335, 50583",korean,"10.278171, 10.332873","23.417311, 19.841489000000006"
"49583, 50583",korean,"10.122209, 10.332873","16.762664, 19.841489000000006"
"49583, 49669",korean,"10.122209, 10.139532","16.762664, 11.967207"
"47508, 49669",korean,"9.685842999999998, 10.139532","9.892308, 11.967207"
"49669, 51624",korean,"10.139532, 10.546853","11.967207, 9.306586"
"49637, 49669",korean,"10.131742, 10.139532","9.997508, 11.967207"
"3881, 4436",korean,"0.830234, 0.945885","41.078911, 38.499345"
"4436, 5447",korean,"0.945885, 1.162194","38.499345, 35.620558"
"5447, 5544",korean,"1.162194, 1.1852129999999998","35.620558, 31.424736"
"5544, 5586",korean,"1.1852129999999998, 1.194342","31.424736, 30.089638"
"5586, 6193",korean,"1.194342, 1.324443","30.089638, 27.264059000000003"
"5742, 6193",korean,"1.229152, 1.324443","24.583713, 27.264059000000003"
"5454, 5742",korean,"1.163667, 1.229152","19.658408, 24.583713"
"4463, 5454",korean,"0.953445, 1.163667","23.417648, 19.658408"
"3693, 4463",korean,"0.788981, 0.953445","24.267178, 23.417648"
"3031, 3693",korean,"0.642602, 0.788981","29.311751, 24.267178"
"3031, 3092",korean,"0.642602, 0.655462","29.311751, 30.861024"
"2912, 3092",korean,"0.61468, 0.655462","33.719344, 30.861024"
"2912, 2942",korean,"0.61468, 0.6225609999999999","33.719344, 35.399501"
"2942, 3231",korean,"0.6225609999999999, 0.68533","35.399501, 39.458664"
"3231, 3881",korean,"0.68533, 0.830234","39.458664, 41.078911"
"17593, 18543",korean,"3.769037, 3.967157","-12.101589, -13.508515"
"17378, 17593",korean,"3.720806, 3.769037","-9.763395, -12.101589"
"16537, 17378",korean,"3.5488480000000004, 3.720806","-9.458262, -9.763395"
"15197, 16537",korean,"3.263896, 3.5488480000000004","-8.81973, -9.458262"
"13701, 15197",korean,"2.940458, 3.263896","-8.898144, -8.81973"
"12770, 13701",korean,"2.735375, 2.940458","-13.858695999999998, -8.898144"
"12770, 12843",korean,"2.735375, 2.7517150000000004","-13.858695999999998, -18.572563"
"12843, 13288",korean,"2.7517150000000004, 2.850645","-18.572563, -21.004019"
"13288, 14146",korean,"2.850645, 3.039863","-21.004019, -23.624472"
"14146, 15474",korean,"3.039863, 3.325278","-23.624472, -21.757864"
"15474, 16611",korean,"3.325278, 3.563132","-21.757864, -21.632883"
"16611, 17651",korean,"3.563132, 3.780804","-21.632883, -23.249723"
"17651, 18216",korean,"3.780804, 3.895195","-23.249723, -24.61223"
"18216, 18673",korean,"3.895195, 3.998745","-24.61223, -24.016215"
"92308, 92953",korean,"18.814024, 18.938044","-43.680047, -42.710676"
"91494, 92308",korean,"18.659768, 18.814024","-43.185878, -43.680047"
"90982, 91494",korean,"18.558383, 18.659768","-42.31251, -43.185878"
"90887, 90982",korean,"18.539257, 18.558383","-39.704001, -42.31251"
"90887, 91875",korean,"18.539257, 18.729706","-39.704001, -38.323441"
"91875, 92989",korean,"18.729706, 18.944582","-38.323441, -37.343241"
"92989, 93174",korean,"18.944582, 18.978721","-37.343241, -37.107357"
"93174, 93825",korean,"18.978721, 19.106971","-37.107357, -37.063437"
"93825, 94114",korean,"19.106971, 19.157869","-37.063437, -37.904474"
"94114, 94160",korean,"19.157869, 19.167154","-37.904474, -39.34079600000001"
"94005, 94160",korean,"19.139156, 19.167154","-40.496703, -39.34079600000001"
"93542, 94005",korean,"19.051907, 19.139156","-42.095105, -40.496703"
"92953, 93542",korean,"18.938044, 19.051907","-42.710676, -42.095105"
"21248, 21393",korean,"4.55849, 4.592512","-29.766492, -30.562341"
"20535, 21393",korean,"4.400613, 4.592512","-34.016846, -30.562341"
"20042, 20535",korean,"4.298237, 4.400613","-33.798348, -34.016846"
"17874, 20042",korean,"3.824237, 4.298237","-36.20025, -33.798348"
"17797, 17874",korean,"3.809963, 3.824237","-37.620155, -36.20025"
"17351, 17797",korean,"3.713908, 3.809963","-37.313518, -37.620155"
"16870, 17351",korean,"3.618244, 3.713908","-40.274545, -37.313518"
"15510, 16870",korean,"3.331944, 3.618244","-43.06978400000001, -40.274545"
"13847, 15510",korean,"2.971023, 3.331944","-40.304672, -43.06978400000001"
"12486, 13847",korean,"2.677781, 2.971023","-39.855375, -40.304672"
"11477, 12486",korean,"2.467139, 2.677781","-33.811039, -39.855375"
"11477, 13147",korean,"2.467139, 2.818169","-33.811039, -32.405898"
"13147, 14879",korean,"2.818169, 3.201249","-32.405898, -28.987618"
"46371, 46880",korean,"9.45511, 9.553461","-22.343783, -21.115722"
"45902, 46371",korean,"9.35822, 9.45511","-25.965439, -22.343783"
"44824, 45902",korean,"9.134133, 9.35822","-25.858536, -25.965439"
"44824, 45001",korean,"9.134133, 9.16567","-25.858536, -30.365401"
"45001, 46026",korean,"9.16567, 9.386739","-30.365401, -28.833873"
"46026, 46578",korean,"9.386739, 9.498474","-28.833873, -26.589616"
"46578, 47187",korean,"9.498474, 9.616725","-26.589616, -25.296759"
"47187, 47758",korean,"9.616725, 9.736694","-25.296759, -27.769471000000006"
"47758, 48559",korean,"9.736694, 9.903425","-27.769471000000006, -25.932345"
"48559, 48584",korean,"9.903425, 9.908838","-25.932345, -22.487456"
"47522, 48584",korean,"9.688058, 9.908838","-23.591514, -22.487456"
"46880, 47522",korean,"9.553461, 9.688058","-21.115722, -23.591514"
"12828, 13954",korean,"2.749039, 2.99525","10.114146, 8.907364999999997"
"11484, 12828",korean,"2.469317, 2.749039","8.460054, 10.114146"
"10324, 11484",korean,"2.2166650000000003, 2.469317","8.846717, 8.460054"
"9487, 10324",korean,"2.034117, 2.2166650000000003","2.763759, 8.846717"
"9487, 9589",korean,"2.034117, 2.053236","2.763759, 0.12850699999999998"
"9589, 10305",korean,"2.053236, 2.213206","0.12850699999999998, -2.393637"
"10305, 11791",korean,"2.213206, 2.53595","-2.393637, -1.0348959999999998"
"11791, 12387",korean,"2.53595, 2.658044","-1.0348959999999998, 0.328511"
"12387, 12706",korean,"2.658044, 2.721678","0.328511, 3.235818"
"12706, 14135",korean,"2.721678, 3.037992","3.235818, 4.089734"
"14135, 15457",korean,"3.037992, 3.322693","4.089734, 3.370198"
"15457, 16852",korean,"3.322693, 3.614551","3.370198, 0.401662"
"107119, 108535",korean,"21.698652, 21.987518","71.311417, 73.179896"
"106032, 108535",korean,"21.477662, 21.987518","70.560716, 73.179896"
"106032, 107119",korean,"21.477662, 21.698652","70.560716, 71.311417"
"107119, 109400",korean,"21.698652, 22.163441","71.311417, 72.341207"
"109400, 111532",korean,"22.163441, 22.596077","72.341207, 73.643188"
"111532, 114222",korean,"22.596077, 23.131623","73.643188, 75.387496"
"114222, 116727",korean,"23.131623, 23.65582","75.387496, 77.632276"
"108535, 116727",korean,"21.987518, 23.65582","73.179896, 77.632276"
"108535, 114222",korean,"21.987518, 23.131623","73.179896, 75.387496"
"108535, 111532",korean,"21.987518, 22.596077","73.179896, 73.643188"
"108535, 109400",korean,"21.987518, 22.163441","73.179896, 72.341207"
"80170, 80816",korean,"16.365338, 16.503667999999998","19.15313, 21.489613"
"79043, 80170",korean,"16.134591, 16.365338","17.046979999999998, 19.15313"
"78072, 79043",korean,"15.940882, 16.134591","15.661617, 17.046979999999998"
"77233, 78072",korean,"15.769793, 15.940882","15.421826, 15.661617"
"76276, 77233",korean,"15.580041, 15.769793","10.538867, 15.421826"
"76276, 77070",korean,"15.580041, 15.737798000000002","10.538867, 6.425627"
"77070, 77622",korean,"15.737798000000002, 15.846935","6.425627, 4.47773"
"77622, 79593",korean,"15.846935, 16.239094","4.47773, -3.694323"
"79593, 79882",korean,"16.239094, 16.305358","-3.694323, -4.692511"
"79882, 81377",korean,"16.305358, 16.619316","-4.692511, -10.56709"
"99874, 101076",korean,"20.262816, 20.489926","27.814242, 30.368555"
"99824, 99874",korean,"20.254415, 20.262816","25.591957, 27.814242"
"99824, 99951",korean,"20.254415, 20.279746","25.591957, 24.671102"
"99951, 100435",korean,"20.279746, 20.36762","24.671102, 24.446099"
"100435, 101868",korean,"20.36762, 20.642198","24.446099, 24.115958"
"101868, 102388",korean,"20.642198, 20.747919","24.115958, 25.270617"
"102388, 103004",korean,"20.747919, 20.868801","25.270617, 27.096979"
"103004, 103200",korean,"20.868801, 20.909344","27.096979, 28.057621"
"102453, 103200",korean,"20.761043, 20.909344","30.719715, 28.057621"
"101076, 102453",korean,"20.489926, 20.761043","30.368555, 30.719715"
"84012, 86263",korean,"17.172968, 17.626445","-15.72491, -15.398557"
"86263, 88048",korean,"17.626445, 17.983775","-15.398557, -9.773632"
"88048, 89962",korean,"17.983775, 18.355167","-9.773632, -2.898825"
"89962, 91975",korean,"18.355167, 18.747205","-2.898825, 2.060038"
"91975, 92946",korean,"18.747205, 18.936995","2.060038, 4.203595"
"92946, 93747",korean,"18.936995, 19.090169","4.203595, 13.863478"
"92043, 93747",korean,"18.761035, 19.090169","20.546308, 13.863478"
"90139, 92043",korean,"18.394967, 18.761035","21.769752, 20.546308"
"88886, 90139",korean,"18.14597, 18.394967","20.814557, 21.769752"
"88267, 88886",korean,"18.025113, 18.14597","21.595782, 20.814557"
"75141, 76297",korean,"15.356201, 15.585681","-40.647518, -41.166757"
"75141, 75264",korean,"15.356201, 15.378021","-40.647518, -44.689622"
"75264, 76829",korean,"15.378021, 15.686505","-44.689622, -44.661205"
"76297, 76829",korean,"15.585681, 15.686505","-41.166757, -44.661205"
"76297, 78384",korean,"15.585681, 16.002036","-41.166757, -38.396706"
"76829, 78639",korean,"15.686505, 16.053579","-44.661205, -49.229695"
"76829, 78914",korean,"15.686505, 16.108176","-44.661205, -45.173185"
"73273, 75264",korean,"14.975537, 15.378021","-43.13396, -44.689622"
"73807, 75264",korean,"15.085303, 15.378021","-47.051245, -44.689622"
"75141, 75177",korean,"15.356201, 15.36344","-40.647518, -36.261376"
"104732, 105138",korean,"21.215607, 21.298632","30.226916, 34.896898"
"104887, 105138",korean,"21.246517, 21.298632","38.045317, 34.896898"
"103413, 104887",korean,"20.952893, 21.246517","41.167136, 38.045317"
"102098, 103413",korean,"20.690532, 20.952893","45.280338, 41.167136"
"99675, 102098",korean,"20.227196, 20.690532","46.741329, 45.280338"
"97165, 99675",korean,"19.749574, 20.227196","45.13081, 46.741329"
"97165, 100453",korean,"19.749574, 20.370473","45.13081, 40.256679"
"100453, 102488",korean,"20.370473, 20.770178","40.256679, 33.970256"
"102488, 104732",korean,"20.770178, 21.215607","33.970256, 30.226916"
"34088, 35350",korean,"7.0684809999999985, 7.30155","20.570297, 16.540383"
"32921, 34088",korean,"6.859178999999999, 7.0684809999999985","21.761148, 20.570297"
"32246, 32921",korean,"6.732202, 6.859178999999999","25.131124, 21.761148"
"30883, 32921",korean,"6.482719, 6.859178999999999","20.212133, 21.761148"
"30343, 30883",korean,"6.3826730000000005, 6.482719","22.513586, 20.212133"
"30883, 31681",korean,"6.482719, 6.628528","20.212133, 16.399252"
"31681, 34088",korean,"6.628528, 7.0684809999999985","16.399252, 20.570297"
"31681, 32362",korean,"6.628528, 6.754824","16.399252, 12.895591"
"29655, 30343",korean,"6.247961, 6.3826730000000005","22.506799, 22.513586"
"22109, 22701",korean,"4.758375, 4.881575","-3.254657, -5.4526949999999985"
"22024, 22701",korean,"4.734811, 4.881575","-8.503571, -5.4526949999999985"
"21297, 22024",korean,"4.569936, 4.734811","-8.970258, -8.503571"
"19849, 21297",korean,"4.254537, 4.569936","-7.652871, -8.970258"
"19587, 19849",korean,"4.197761, 4.254537","-6.837581, -7.652871"
"19587, 20507",korean,"4.197761, 4.3946809999999985","-6.837581, -3.74547"
"20507, 21444",korean,"4.3946809999999985, 4.6053169999999986","-3.74547, -3.352459"
"21444, 21547",korean,"4.6053169999999986, 4.626703","-3.352459, -2.473548"
"21547, 22109",korean,"4.626703, 4.758375","-2.473548, -3.254657"
"34444, 37819",korean,"7.139857000000001, 7.7542490000000015","-26.3932, -37.968584"
"34444, 38901",korean,"7.139857000000001, 7.961141","-26.3932, -30.334570000000006"
