star_ID,count,ra,dec,size,culture
69536,1,14.234773,12.959444,36,chinese_medieval
72370,1,14.797701000000002,-79.044751,36,western
8046,1,1.7221509999999998,60.551331999999995,36,chinese_medieval
67429,1,13.819429000000001,51.483362,36,navajo
91989,1,18.74921,-39.686188,36,tukano
102216,1,20.711025,60.601316000000004,36,armintxe
87879,1,17.951954,-13.653238,36,northern_andes
32578,1,6.7976800000000015,2.412159,36,northern_andes
105425,1,21.354611,-49.938248,36,chinese_medieval
98162,1,19.94912,-27.169898999999997,36,chinese_medieval
101477,1,20.565297,-44.516048,36,chinese_medieval
42080,1,8.576711,65.14517,36,korean
114,1,0.024777,30.735784999999996,36,navajo
87544,1,17.884733999999995,-13.650229999999999,36,northern_andes
4852,1,1.0406739999999999,-31.552004999999998,36,chinese_medieval
105727,1,21.413729,80.524826,36,korean
47205,1,9.620185000000001,6.835802,36,chinese_medieval
24575,1,5.271708,34.312317,36,korean
104194,1,21.110026,47.648403,36,korean
51979,1,10.620481,-27.412634000000004,36,chinese_medieval
105229,1,21.315369,41.040518,36,armintxe
88857,1,18.14132,-16.416665,36,northern_andes
117927,1,23.918831,7.070972,36,seleucid
100435,1,20.367620000000002,24.446099,36,korean
62423,1,12.792873,66.790304,36,chinese_medieval
67663,1,13.863117,-46.898666,36,chinese_medieval
21296,1,4.569897,-8.231352000000001,36,chinese_medieval
42008,1,8.562077,4.757,36,ojibwe
82802,1,16.922825,18.433213000000002,36,chinese_medieval
100515,1,20.382089,42.983543,36,armintxe
103736,1,21.020644,43.721788000000004,36,armintxe
25918,1,5.531318,-76.340964,36,western
75206,1,15.368975,-47.927792,36,chinese_medieval
7506,1,1.6124399999999999,-58.270966,36,boorong
113998,1,23.086904,-17.07925,36,chinese_medieval
79320,1,16.188256,-41.11980300000001,36,chinese_medieval
19780,1,4.240404,-62.47385799999999,36,western
64577,1,13.236360999999999,-19.930947,36,seleucid
45496,1,9.270024000000001,-57.541472999999996,36,tongan
92689,1,18.887096,50.708221,36,korean
115125,1,,,36,korean
63117,1,12.932538000000001,-56.83580600000001,36,northern_andes
91845,1,18.725348,-8.275215,36,korean
24254,1,5.206237000000002,73.946674,36,chinese_medieval
9909,1,2.126074,66.989343,36,navajo
117887,1,23.912951,0.10930899999999999,36,chinese_medieval
19587,1,4.197761,-6.837581,36,korean
