star,name,ra,dec,culture,total_culture_names,color
42313,Minazal I,8.627602,5.703782,western,876,#5bc4c7
46982,Ukdah III,9.575736000000001,-5.914948000000001,western,876,#5bc4c7
46390,Cor Hydrae,9.45979,-8.658603,western,876,#5bc4c7
46390,Kalbelaphard,9.45979,-8.658603,western,876,#5bc4c7
46390,Alphard,9.45979,-8.658603,western,876,#5bc4c7
80170,Nasak Shamiya III,16.365338,19.153129999999997,western,876,#5bc4c7
80838,Ogma,16.508231,38.34731,western,876,#5bc4c7
84379,Sarin,17.250531,24.839204000000002,western,876,#5bc4c7
80463,Cujam,16.423598000000002,14.033270000000002,western,876,#5bc4c7
85693,Masym,17.512307999999994,26.110645,western,876,#5bc4c7
85693,Maasym,17.512307999999994,26.110645,western,876,#5bc4c7
79043,Marfik,16.134591,17.046979999999998,western,876,#5bc4c7
79043,Marsic,16.134591,17.046979999999998,western,876,#5bc4c7
80816,Rutilicus,16.503667999999998,21.489613000000002,western,876,#5bc4c7
80816,Kornephoros,16.503667999999998,21.489613000000002,western,876,#5bc4c7
84345,Ras Algethi,17.244127,14.390332999999998,western,876,#5bc4c7
84345,Rasalgethi,17.244127,14.390332999999998,western,876,#5bc4c7
112122,Deneb Alnahr,22.711115,-46.884577,western,876,#5bc4c7
112122,Tiaki,22.711115,-46.884577,western,876,#5bc4c7
108085,Deneb Hut,21.898808,-37.364852,western,876,#5bc4c7
108085,Al Dhanab,21.898808,-37.364852,western,876,#5bc4c7
108085,Aldhanab,21.898808,-37.364852,western,876,#5bc4c7
109268,Al Na'ir,22.137209,-46.960975,western,876,#5bc4c7
109268,Alnair,22.137209,-46.960975,western,876,#5bc4c7
37265,Jishui,7.6527600000000024,34.584346000000004,western,876,#5bc4c7
29807,Kurud II,6.2758709999999995,-35.140519,western,876,#5bc4c7
29034,Kurud I,6.125453,-37.25292,western,876,#5bc4c7
29034,Elkurud,6.125453,-37.25292,western,876,#5bc4c7
25292,Alhiba III,5.4108730000000005,37.38534600000001,western,876,#5bc4c7
71075,Seginus,14.534635999999999,38.308253,western,876,#5bc4c7
73555,Nekkar,15.032435999999999,40.390566,western,876,#5bc4c7
69673,Arcturus,14.261029999999998,19.18241,western,876,#5bc4c7
26712,Andrews' star,5.676641,31.358196999999997,western,876,#5bc4c7
33377,Dolones IX,6.9422380000000015,46.273998,western,876,#5bc4c7
33133,Dolones VIII,6.8991869999999995,38.505018,western,876,#5bc4c7
32844,Dolones VII,6.846097,41.78123,western,876,#5bc4c7
32562,Dolones VI,6.794327,48.789476,western,876,#5bc4c7
32480,Dolones V,6.778983,43.577427,western,876,#5bc4c7
32173,Dolones IV,6.718050999999999,44.52445,western,876,#5bc4c7
31789,Dolones II,6.6469949999999995,39.902559000000004,western,876,#5bc4c7
31832,Dolones III,6.655507000000001,42.488877,western,876,#5bc4c7
30520,Dolones I,6.4149730000000025,49.287893,western,876,#5bc4c7
24340,Alhiba I,5.223811,38.484497999999995,western,876,#5bc4c7
71075,Ceginus,14.534635999999999,38.308253,western,876,#5bc4c7
24813,Alhiba II,5.318995,40.099051,western,876,#5bc4c7
28380,Mahasim,5.995351,37.212585,western,876,#5bc4c7
23767,Haedus II,5.10858,41.234474,western,876,#5bc4c7
23767,Haedus,5.10858,41.234474,western,876,#5bc4c7
23416,Alanz,5.032815,43.823308000000004,western,876,#5bc4c7
23416,Al Ma'az,5.032815,43.823308000000004,western,876,#5bc4c7
23416,Almaaz,5.032815,43.823308000000004,western,876,#5bc4c7
23453,Sadatoni,5.041301,41.075837,western,876,#5bc4c7
23453,Haedus,5.041301,41.075837,western,876,#5bc4c7
23453,Haedus I,5.041301,41.075837,western,876,#5bc4c7
23453,Saclateni,5.041301,41.075837,western,876,#5bc4c7
23015,Kabalinan,4.9498940000000005,33.166090000000004,western,876,#5bc4c7
23015,Hassaleh,4.9498940000000005,33.166090000000004,western,876,#5bc4c7
71075,Haris,14.534635999999999,38.308253,western,876,#5bc4c7
72105,Izar,14.749784,27.074222,western,876,#5bc4c7
40881,Piautos,8.342260000000001,24.022314,western,876,#5bc4c7
73745,Aulad Alnathlat,15.074098000000001,26.947649,western,876,#5bc4c7
42556,Almalaf,8.67417,19.544808,western,876,#5bc4c7
42556,Meleph,8.67417,19.544808,western,876,#5bc4c7
43587,Copernicus,8.876625,28.330819,western,876,#5bc4c7
40526,Altarf,8.275256,9.185545,western,876,#5bc4c7
40526,Al Tarf,8.275256,9.185545,western,876,#5bc4c7
40526,Tarf,8.275256,9.185545,western,876,#5bc4c7
40167,Tegmeni,8.203535,17.647771,western,876,#5bc4c7
40167,Tegmine,8.203535,17.647771,western,876,#5bc4c7
42911,Asellus Australis,8.74475,18.154309,western,876,#5bc4c7
42806,Asellus Borealis,8.721430999999999,21.468501,western,876,#5bc4c7
44066,Sertan,8.974784,11.857700999999999,western,876,#5bc4c7
44066,Acubens,8.974784,11.857700999999999,western,876,#5bc4c7
58952,Tonatiuh,12.087451,76.905734,western,876,#5bc4c7
76534,Ceginus,15.630441000000001,40.353433,western,876,#5bc4c7
72105,Pulcherrima,14.749784,27.074222,western,876,#5bc4c7
69732,Aulad Althiba,14.273074,46.088305,western,876,#5bc4c7
69732,Xuange,14.273074,46.088305,western,876,#5bc4c7
74666,Thiba,15.258376,33.314833,western,876,#5bc4c7
69483,Asellus Tertius,14.224718,51.789965,western,876,#5bc4c7
69713,Asellus Secundus,14.269439000000002,51.367231,western,876,#5bc4c7
70497,Asellus Primus,14.419967000000002,51.850744,western,876,#5bc4c7
72487,Merga,14.821852999999999,46.116205,western,876,#5bc4c7
75411,Venabulum,15.408180999999999,37.377167,western,876,#5bc4c7
75411,Clava,15.408180999999999,37.377167,western,876,#5bc4c7
75411,Inkalunis,15.408180999999999,37.377167,western,876,#5bc4c7
75411,Alkalurops,15.408180999999999,37.377167,western,876,#5bc4c7
67927,Muphrid,13.911411,18.397717,western,876,#5bc4c7
72105,Mirak,14.749784,27.074222,western,876,#5bc4c7
28360,Menkalinan,5.9921489999999995,44.947433000000004,western,876,#5bc4c7
24608,Goat Star,5.27815,45.997991,western,876,#5bc4c7
24608,Alhajoth,5.27815,45.997991,western,876,#5bc4c7
111710,Situla,22.629273,-4.228056,western,876,#5bc4c7
98036,Alshain,19.921886999999998,6.406763,western,876,#5bc4c7
97649,Altair,19.846388,8.868322000000003,western,876,#5bc4c7
110672,Seat,22.421284,1.377401,western,876,#5bc4c7
108874,Al Sa'd al Mulk,22.055234,-2.155363,western,876,#5bc4c7
108874,Sadalmulk,22.055234,-2.155363,western,876,#5bc4c7
106786,Bunda,21.629197,-7.854201,western,876,#5bc4c7
103045,Albulaan,20.877565,-8.983317999999997,western,876,#5bc4c7
103045,Albulan I,20.877565,-8.983317999999997,western,876,#5bc4c7
104459,Albulaan,21.159902,-11.371692999999999,western,876,#5bc4c7
104459,Albulan II,21.159902,-11.371692999999999,western,876,#5bc4c7
112961,Hydor,22.876910000000002,-7.579599000000001,western,876,#5bc4c7
110960,Alsad,22.480531,-0.019972,western,876,#5bc4c7
110960,Sadaltager,22.480531,-0.019972,western,876,#5bc4c7
110003,Ancha,22.280565,-7.783289999999999,western,876,#5bc4c7
24608,Capella,5.27815,45.997991,western,876,#5bc4c7
102618,Albali,20.794598,-9.495776,western,876,#5bc4c7
113136,Skat,22.910837,-15.820820000000001,western,876,#5bc4c7
110395,Sadachbia,22.360938,-1.3873309999999999,western,876,#5bc4c7
106278,Sadalsuud,21.525982,-5.571172,western,876,#5bc4c7
109074,Sadalmelik,22.096398999999998,-0.319851,western,876,#5bc4c7
6999,Thail,1.501695,47.007274,western,876,#5bc4c7
116076,Veritate,23.52149,39.236198,western,876,#5bc4c7
7513,Titawin,1.613299,41.405459,western,876,#5bc4c7
7607,Nembus,1.633205,48.628213,western,876,#5bc4c7
6411,Adhil,1.3723370000000001,45.528778,western,876,#5bc4c7
9640,Almaak,2.064984,42.329725,western,876,#5bc4c7
9640,Almach,2.064984,42.329725,western,876,#5bc4c7
5447,Mirach,1.162194,35.620558,western,876,#5bc4c7
97278,Tarazed,19.770994,10.613261,western,876,#5bc4c7
97278,Reda,19.770994,10.613261,western,876,#5bc4c7
97938,Libertas,19.904134,8.461453,western,876,#5bc4c7
93805,Al Thalimain Prior,19.10415,-4.882554,western,876,#5bc4c7
13702,Al Butain II,2.9405959999999998,18.023119,western,876,#5bc4c7
13165,Al Butain I,2.821544,17.464309,western,876,#5bc4c7
12640,Koleon,2.7060939999999998,20.011465,western,876,#5bc4c7
15110,Al Butain IV,3.24836,21.044441,western,876,#5bc4c7
13914,Al Butain III,2.986868,21.340429,western,876,#5bc4c7
13209,Nair al Butain,2.833063,27.260507,western,876,#5bc4c7
13209,Bharani,2.833063,27.260507,western,876,#5bc4c7
13061,Barani III,2.79848,29.247118,western,876,#5bc4c7
13061,Lilii Borea,2.79848,29.247118,western,876,#5bc4c7
12719,Barani II,2.724198,27.707146,western,876,#5bc4c7
12489,Barani I,2.678075,27.060942999999998,western,876,#5bc4c7
14838,Botein,3.193822,19.726677,western,876,#5bc4c7
8832,Mesarthim,1.8921700000000001,19.293851999999998,western,876,#5bc4c7
8903,Sheratan,1.910668,20.808035,western,876,#5bc4c7
9884,Hamal,2.119555,23.462423,western,876,#5bc4c7
86796,Cervantes,17.735751999999994,-51.834053000000004,western,876,#5bc4c7
99473,Almizan III,20.188413,-0.8214610000000001,western,876,#5bc4c7
97804,Almizan II,19.874547,1.0056610000000001,western,876,#5bc4c7
95501,Almizan I,19.424972,3.114775,western,876,#5bc4c7
93244,Deneb el Okab,18.993710999999998,15.068298,western,876,#5bc4c7
93244,Deneb al Okab Borealis,18.993710999999998,15.068298,western,876,#5bc4c7
93747,Deneb el Okab,19.090169,13.863478,western,876,#5bc4c7
93747,Deneb al Okab Australis,19.090169,13.863478,western,876,#5bc4c7
93747,Okab,19.090169,13.863478,western,876,#5bc4c7
96468,Al Thalimain II,19.612022,-1.286601,western,876,#5bc4c7
96468,Al Thalimain Posterior,19.612022,-1.286601,western,876,#5bc4c7
93805,Al Thalimain I,19.10415,-4.882554,western,876,#5bc4c7
43103,Zubanah,8.778284,28.759898,western,876,#5bc4c7
44946,Nahn,9.155982,22.045446,western,876,#5bc4c7
27628,Wezn,5.849329,-35.768309,western,876,#5bc4c7
116727,Errai,23.655820000000002,77.632276,western,876,#5bc4c7
14135,Menkar,3.037992,4.089734,western,876,#5bc4c7
114222,Al Aghnam II,23.131623,75.387496,western,876,#5bc4c7
99255,Al Aghnam I,20.148145,77.71141899999998,western,876,#5bc4c7
101093,Al Kidr,20.493015,62.99410500000001,western,876,#5bc4c7
102422,Kabalfird,20.754811,61.838781999999995,western,876,#5bc4c7
110893,Kruger 60,22.466642,57.695875,western,876,#5bc4c7
107418,Castula,21.757479999999997,61.12080600000001,western,876,#5bc4c7
111056,Kalbalrai,22.498047,78.824285,western,876,#5bc4c7
111056,Al Kalb al Rai,22.498047,78.824285,western,876,#5bc4c7
108917,Al Kurhah,22.063135,64.627971,western,876,#5bc4c7
108917,Kurhah,22.063135,64.627971,western,876,#5bc4c7
107259,Erakis,21.725127,58.780046,western,876,#5bc4c7
107259,The Garnet Star,21.725127,58.780046,western,876,#5bc4c7
106032,Alfirk,21.477662,70.560716,western,876,#5bc4c7
3419,Deneb Kaitos,0.72649,-17.986604999999994,western,876,#5bc4c7
105199,Alderamin,21.30963,62.585573,western,876,#5bc4c7
69619,Popper's Star,14.249620000000002,-46.288691,western,876,#5bc4c7
70300,Bidelman's Helium Variable Star,14.383956,-39.511819,western,876,#5bc4c7
56709,Przybylski's Star,11.626959,-46.709689000000004,western,876,#5bc4c7
68933,Menkent,14.111395000000002,-36.369954,western,876,#5bc4c7
68002,Baten Kentaurus,13.925667,-47.288375,western,876,#5bc4c7
68002,Alnair,13.925667,-47.288375,western,876,#5bc4c7
61932,Muhlifain,12.691971,-48.959888,western,876,#5bc4c7
68702,Agena,14.063729,-60.373039,western,876,#5bc4c7
68702,Hadar,14.063729,-60.373039,western,876,#5bc4c7
70890,Proxima Centauri,14.495985000000001,-62.679485,western,876,#5bc4c7
70890,Proxima,14.495985000000001,-62.679485,western,876,#5bc4c7
71683,Bungula,14.660765,-60.833976,western,876,#5bc4c7
3419,Diphda,0.72649,-17.986604999999994,western,876,#5bc4c7
8645,Baten Kaitos,1.8576759999999999,-10.335038,western,876,#5bc4c7
63125,Cor Caroli,12.933807,38.31838,western,876,#5bc4c7
10324,Al Kaff al Jidhmah I,2.2166650000000003,8.846717,western,876,#5bc4c7
27628,Wazn,5.849329,-35.768309,western,876,#5bc4c7
