num_pairs,star,name,ra,dec,culture,color
13,78918,UR.IDIM,16.109873999999998,-36.802288,mulapin,#f38b88
13,106481,U.KA.DU.A,21.56635,45.591837,mulapin,#f38b88
13,107556,Sukhurmashu,21.784011,-16.127285999999998,mulapin,#f38b88
13,77634,As-Sab'a,15.849316,-33.627165000000005,arabic,#7d963a
13,31700,军市,6.631506,-18.237478,chinese_medieval,#e36856
13,100751,Pavo,20.427459,-56.73509,western,#5bc4c7
13,12828,天囷,2.749039,10.114146,chinese_medieval,#e36856
13,118209,垒壁阵,23.977883,-3.5559830000000003,chinese_medieval,#e36856
13,108085,天垒城,21.898808,-37.364852,chinese_medieval,#e36856
13,92953,Byeol,18.938044,-42.710676,korean,#2f8cae
13,21248,Cheonwon,4.55849,-29.766492,korean,#2f8cae
13,67301,Ojiig,13.792354000000001,49.313265,ojibwe,#877b93
13,85927,Manaiakalani,17.560145000000002,-37.103821,hawaiian_starlines,#1e8871
13,77634,Lupus,15.849316,-33.627165000000005,western,#5bc4c7
12,25428,Taurus,5.438198000000001,28.60745,western,#5bc4c7
12,57380,Virgo,11.764322,6.529376,western,#5bc4c7
12,85927,Scorpius,17.560145000000002,-37.103821,western,#5bc4c7
12,84012,kakkab Zababa,17.172968,-15.724910000000001,mulapin,#f38b88
12,85927,Colotl Ixayac,17.560145000000002,-37.103821,aztec,#315c93
12,46880,CheonMyo,9.553461,-21.115722,korean,#2f8cae
12,49669,Mishibizhii-Gaadidnaway,10.139532,11.967207,ojibwe,#877b93
12,2599,Hernan Crespo Toral (El Guerrero),0.5499970000000001,62.931782999999996,northern_andes,#c3cf00
12,13954,CheonGyun,2.99525,8.907364999999997,korean,#2f8cae
12,5571,TokakiBoshi,1.1908940000000001,21.03465,japanese_moon_stations,#e8d668
12,25428,Ath-Thawr,5.438198000000001,28.60745,arabic,#7d963a
12,21248,天园,4.55849,-29.766492,chinese_medieval,#e36856
12,9487,Hehaka,2.0341169999999997,2.763759,dakota,#303258
12,60851,Bunya,12.472025,-64.34098900000001,boorong,#7eb9cb
12,85927,Al-'Aqrab,17.560145000000002,-37.103821,arabic,#7d963a
12,57380,Al-'Athra',11.764322,6.529376,arabic,#7d963a
12,80337,积卒,16.400354999999998,-39.19298,chinese_medieval,#e36856
12,17702,Tayamni,3.79141,24.105137,dakota,#303258
12,40526,Sek,8.275256,9.185545,egyptian,#91b6a8
12,102532,Pamõ,20.777639999999998,16.124295999999998,tukano,#ae7b3a
11,74785,Zibanitu,15.283449,-9.382916999999999,mulapin,#f38b88
